Campaign_Row_ID,Campaign_ID,Budget,Clicks,CTR,CPC,Conversions,CPA,Conversion_Rate,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,ROAS,Date,Impressions,Month,Quarter,CPC_Actual,CPA_Actual,ROAS_Actual,Budget_Variance,Budget_Variance_Pct
1,C3578,6390,401,0.0461,15.94,174,36.72,0.4339,20,Instagram,Carousel,35-44,Male,Europe,27840,6453.9,4.31,2025-01-19,8698,2025-01,2025Q1,16.09,37.09,4.31,63.9,0.01
2,C6702,9870,1286,0.286,7.67,821,12.02,0.6384,28,LinkedIn,Text,55+,Male,Africa,128076,10067.4,12.72,2025-01-22,4496,2025-01,2025Q1,7.83,12.26,12.72,197.4,0.02
3,C9725,7700,1684,0.2122,4.57,1060,7.26,0.6295,15,Instagram,Video,35-44,Other,North America,193980,7623.0,25.45,2024-07-23,7935,2024-07,2024Q3,4.53,7.19,25.45,-77.0,-0.01
4,C9472,8420,444,0.0961,18.96,308,27.34,0.6937,25,Google,Text,25-34,Male,North America,24024,8504.2,2.82,2024-04-20,4620,2024-04,2024Q2,19.15,27.61,2.82,84.2,0.01
5,C7601,8470,1912,0.3652,4.43,1428,5.93,0.7469,9,Google,Text,25-34,Other,Europe,277032,8046.5,34.43,2024-08-07,5235,2024-08,2024Q3,4.21,5.63,34.43,-423.5,-0.05
6,C2793,5450,663,0.0932,8.22,605,9.01,0.9125,20,YouTube,Text,45-54,Other,South America,21780,5177.5,4.21,2024-05-04,7113,2024-05,2024Q2,7.81,8.56,4.21,-272.5,-0.05
7,C8817,4420,1044,0.2902,4.23,452,9.78,0.433,13,Instagram,Text,25-34,Male,Europe,51528,4508.4,11.43,2024-08-09,3597,2024-08,2024Q3,4.32,9.97,11.43,88.4,0.02
8,C1097,7720,1001,0.1036,7.71,916,8.43,0.9151,19,YouTube,Video,18-24,Other,North America,71448,7334.0,9.74,2024-05-19,9662,2024-05,2024Q2,7.33,8.01,9.74,-386.0,-0.05
9,C9333,2070,379,0.0536,5.46,192,10.78,0.5066,29,LinkedIn,Video,25-34,Male,Africa,15744,2111.4,7.46,2024-06-16,7070,2024-06,2024Q2,5.57,11.0,7.46,41.4,0.02
10,C1232,2710,83,0.0096,32.65,54,50.19,0.6506,23,YouTube,Image,35-44,Other,Africa,7236,2628.7,2.75,2024-11-04,8645,2024-11,2024Q4,31.67,48.68,2.75,-81.3,-0.03
11,C2507,3500,1248,0.2322,2.8,556,6.29,0.4455,10,Facebook,Carousel,55+,Male,South America,97856,3500.0,27.96,2024-09-16,5374,2024-09,2024Q3,2.8,6.29,27.96,0.0,0.0
12,C7297,2250,208,0.0254,10.82,13,173.08,0.0625,19,Google,Carousel,25-34,Female,South America,598,2137.5,0.28,2024-03-10,8188,2024-03,2024Q1,10.28,164.42,0.28,-112.5,-0.05
13,C4133,7460,1326,0.1529,5.63,154,48.44,0.1161,25,YouTube,Carousel,55+,Female,Europe,22792,7609.2,3.0,2024-07-06,8672,2024-07,2024Q3,5.74,49.41,3.0,149.2,0.02
14,C5129,9490,1391,0.1627,6.82,1288,7.37,0.926,9,Facebook,Text,55+,Male,South America,136528,9774.7,13.97,2024-11-16,8549,2024-11,2024Q4,7.03,7.59,13.97,284.7,0.03
15,C2514,2810,1491,0.1635,1.88,1068,2.63,0.7163,30,Facebook,Video,55+,Male,North America,206124,2950.5,69.86,2024-06-10,9119,2024-06,2024Q2,1.98,2.76,69.86,140.5,0.05
16,C8001,3300,1765,0.2958,1.87,454,7.27,0.2572,28,YouTube,Video,18-24,Other,Asia,86260,3168.0,27.23,2024-07-19,5966,2024-07,2024Q3,1.79,6.98,27.23,-132.0,-0.04
17,C1589,9370,1696,0.2854,5.52,790,11.86,0.4658,21,Facebook,Text,55+,Male,Asia,120080,9088.9,13.21,2024-07-25,5942,2024-07,2024Q3,5.36,11.5,13.21,-281.1,-0.03
18,C6840,3290,376,0.1717,8.75,115,28.61,0.3059,9,Google,Video,55+,Male,South America,17020,3388.7,5.02,2024-09-16,2189,2024-09,2024Q3,9.01,29.47,5.02,98.7,0.03
19,C9831,9800,544,0.0781,18.01,62,158.06,0.114,23,Instagram,Carousel,45-54,Female,North America,8618,9800.0,0.88,2024-03-22,6965,2024-03,2024Q1,18.01,158.06,0.88,0.0,0.0
20,C2679,8760,419,0.0892,20.91,251,34.9,0.599,11,Instagram,Video,18-24,Other,Asia,42419,8409.6,5.04,2024-04-19,4697,2024-04,2024Q2,20.07,33.5,5.04,-350.4,-0.04
21,C9010,4120,1076,0.1946,3.83,1027,4.01,0.9545,11,Instagram,Video,45-54,Male,South America,186914,3914.0,47.76,2024-06-04,5529,2024-06,2024Q2,3.64,3.81,47.76,-206.0,-0.05
22,C5916,6950,1862,0.2108,3.73,1460,4.76,0.7841,18,Google,Image,35-44,Female,Africa,58400,6880.5,8.49,2024-02-26,8833,2024-02,2024Q1,3.7,4.71,8.49,-69.5,-0.01
23,C8963,4550,345,0.0728,13.19,139,32.73,0.4029,13,YouTube,Text,45-54,Other,Africa,19460,4641.0,4.19,2024-03-07,4739,2024-03,2024Q1,13.45,33.39,4.19,91.0,0.02
24,C3000,9940,1941,0.5882,5.12,832,11.95,0.4286,16,Facebook,Carousel,25-34,Other,North America,134784,10039.4,13.43,2024-09-29,3299,2024-09,2024Q3,5.17,12.07,13.43,99.4,0.01
